Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7",0805,7,.1uf,
"C13, C14, C15, C19, C20",0603,5,10uf,
C16,CAP-SMD_L7.3-W4.3-R-RD,1,330uF,C79112
C17,0603,1,10nf,
"C8, C9",0805,2,100nf,
"CN-ADC1, CN-I2C1, CN-LCD1",CUI_TBP02R1-381-04OR,3,TBP02R1-381-04OR,
"CN-BTN1, CN-BTN2, CN-BTN3, CN-BTN4, CN-BTN5, CN-BTN6, CN-GPIO1, CN-PTT1, CN-PWR1, CN-R1, CN-R2, CN-R3, CN-R4, CN-R5, CN-R6, CN-RST1, J2, J5, J6",CUI_TBP02R1-381-02OR,19,TBP02R1-381-02OR,
D1,SMA_L4.3-W2.6-LS5.1-RD,1,B340A,C64982
"D2, D3, D4, D5, D6, D7, D8",0805,7,LED,C84260
J1,PinHeader_1x03_P2.54mm_Vertical,1,LCD_PWR_SELECT,
"J3, J4",PinSocket_1x22_P2.54mm_Vertical,2,Conn_01x22_Socket,
L1,IND-SMD_L12.5-W12.5_RLF12545T,1,15uH,C40000
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23,6,MMBT2222A,
"R1, R10, R11, R12, R17, R18, R2, R3, R31, R32, R33, R35, R38, R4, R44, R46, R48, R49, R5, R6, R7, R8, R9",0805,23,10k,
"R13, R16, R23, R25, R27, R29",1206,6,4.7k,
"R14, R15, R22, R24, R26, R28",0805,6,36,
R19,0603,1,10k,
R20,0603,1,3.24k,
R21,0805,1,40,C2930194
R30,0805,1,18k,
"R34, R36, R37, R39, R45, R47",0805,6,15k,
"R40, R50",0805,2,100k,
"RLA1, RLA2, RLA3, RLA4, RLA5, RLA6",G6K-2F-Y DC3,6,G6K-2F-Y-TR DC5,
"TP1, TP2, TP3, TP4",TestPoint_Pad_1.5x1.5mm,4,TestPoint,
U1,ESP32-S3-DevKitC,1,ESP32-S3-DevKitC,
U2,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,"74HC14D,653",C5605
"U3, U4",TSSOP-10_3x3mm_P0.5mm,2,ADS1115IDGS,
U5,ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP,1,TPS5430DDAR,C9864
U6,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,1,AMS1117-3.3_C347222,C347222
